fecha,hora_pico
2026-06-05,11
2026-06-06,10
2026-06-07,0
2026-06-08,12
2026-06-09,11
2026-06-10,10
2026-06-11,12
2026-06-12,13
2026-06-13,11
2026-06-14,11
2026-06-15,12
2026-06-16,11
2026-06-17,9
2026-06-18,13
2026-06-19,13
2026-06-20,13
2026-06-21,13
2026-06-22,11
2026-06-23,13
2026-06-24,12
2026-06-25,11
2026-06-26,10
2026-06-27,15
2026-06-28,11
2026-06-29,13
2026-06-30,13
2026-07-01,12
2026-07-02,14
2026-07-03,12
2026-07-04,0
2026-07-05,14
2026-07-06,12
2026-07-07,12
2026-07-08,14
2026-07-09,11
2026-07-10,10
2026-07-11,13
2026-07-12,12
2026-07-13,14
2026-07-14,12
